[C]#[C]-[c],2179
[C]#[C]-[c] | (Ring),12
[C]-[C]#[C],159487
[C]-[C]#[C] | (Ring),3170
[C]-[C](-[C])(-[C])-[C],14074
[C]-[C](-[C])(-[C])-[C] | (Ring),108235
[C]-[C](-[C])(-[C])-[O],54695
[C]-[C](-[C])(-[C])-[O] | (Ring),466396
[C]-[C](-[C])(-[C])-[c],113
[C]-[C](-[C])(-[C])-[c] | (Ring),210
[C]-[C](-[C])(-[O])-[O],3726
[C]-[C](-[C])(-[O])-[O] | (Ring),75509
[C]-[C](-[C])(-[c])-[O],488
[C]-[C](-[C])(-[c])-[O] | (Ring),1431
[C]-[C](-[C])=[C],95201
[C]-[C](-[C])=[C] | (Ring),273373
[C]-[C](-[C])=[O],175558
[C]-[C](-[C])=[O] | (Ring),371441
[C]-[C](-[C])=[c],61
[C]-[C](-[C])=[c] | (Ring),104
[C]-[C](-[O])=[O],206370
[C]-[C](-[O])=[O] | (Ring),252896
[C]-[C](-[c])(-[O])-[O],12
[C]-[C](-[c])(-[O])-[O] | (Ring),75
[C]-[C](-[c])=[O],1976
[C]-[C](-[c])=[O] | (Ring),1476
[C]-[C](=[C])-[C],6095
[C]-[C](=[C])-[C] | (Ring),4280
[C]-[C](=[C])-[O],65633
[C]-[C](=[C])-[O] | (Ring),298905
[C]-[C](=[C])-[c],1189
[C]-[C](=[C])-[c] | (Ring),1170
[C]-[C](=[c])-[O],43
[C]-[C](=[c])-[O] | (Ring),115
[C]-[C]1(-[C])-[C]-[C]-1 | (Ring),71564
[C]-[C]1(-[C])-[C]-[O]-1 | (Ring),105943
[C]-[C]1(-[O])-[C]-[C]-1 | (Ring),166825
[C]-[C]1(-[c])-[C]-[C]-1 | (Ring),61
[C]-[C]1(-[c])-[C]-[O]-1 | (Ring),164
[C]-[c](:[c]):[c] | (Ring),31916
[C]-[c](:[c]):[o] | (Ring),27717
[C]=[C](-[C])-[C],101
[C]=[C](-[C])-[O],2809
[C]=[C](-[C])-[O] | (Ring),3816
[C]=[C](-[C])-[c],41
[C]=[C](-[C])-[c] | (Ring),6
[C]=[C](-[O])-[O],1
[C]=[C](-[O])-[O] | (Ring),109
[C]=[C](-[c])-[O],646
[C]=[C](-[c])-[O] | (Ring),960
[C]=[c](:[c]):[c] | (Ring),890
[C]=[c](:[c]):[o] | (Ring),1493
[H]-[C]#[C],116413
[H]-[C](-[C])(-[C])-[C],91683
[H]-[C](-[C])(-[C])-[C] | (Ring),509660
[H]-[C](-[C])(-[C])-[O],248043
[H]-[C](-[C])(-[C])-[O] | (Ring),978949
[H]-[C](-[C])(-[C])-[c],1180
[H]-[C](-[C])(-[C])-[c] | (Ring),2497
[H]-[C](-[C])(-[O])-[O],14317
[H]-[C](-[C])(-[O])-[O] | (Ring),187683
[H]-[C](-[C])(-[c])-[O],2896
[H]-[C](-[C])(-[c])-[O] | (Ring),5660
[H]-[C](-[C])=[C],268458
[H]-[C](-[C])=[C] | (Ring),391295
[H]-[C](-[C])=[O],458999
[H]-[C](-[C])=[c],433
[H]-[C](-[C])=[c] | (Ring),401
[H]-[C](-[H])(-[C])-[C],366757
[H]-[C](-[H])(-[C])-[C] | (Ring),784204
[H]-[C](-[H])(-[C])-[O],642940
[H]-[C](-[H])(-[C])-[O] | (Ring),798114
[H]-[C](-[H])(-[C])-[c],5914
[H]-[C](-[H])(-[C])-[c] | (Ring),5561
[H]-[C](-[H])(-[H])-[C],955840
[H]-[C](-[H])(-[H])-[O],344447
[H]-[C](-[H])(-[H])-[c],9502
[H]-[C](-[H])(-[O])-[O],21904
[H]-[C](-[H])(-[O])-[O] | (Ring),109535
[H]-[C](-[H])(-[c])-[O],5858
[H]-[C](-[H])(-[c])-[O] | (Ring),3358
[H]-[C](-[H])(-[c])-[c],2
[H]-[C](-[H])(-[c])-[c] | (Ring),3
[H]-[C](-[H])=[C],388325
[H]-[C](-[H])=[c],972
[H]-[C](-[O])=[O],91153
[H]-[C](-[c])(-[O])-[O],64
[H]-[C](-[c])(-[O])-[O] | (Ring),420
[H]-[C](-[c])=[O],3445
[H]-[C](=[C])-[C],7756
[H]-[C](=[C])-[C] | (Ring),538
[H]-[C](=[C])-[O],108265
[H]-[C](=[C])-[O] | (Ring),242708
[H]-[C](=[C])-[c],3243
[H]-[C](=[C])-[c] | (Ring),1699
[H]-[C](=[c])-[O],271
[H]-[C](=[c])-[O] | (Ring),241
[H]-[C]1(-[C])-[C]-[C]-1 | (Ring),225573
[H]-[C]1(-[C])-[C]-[O]-1 | (Ring),207199
[H]-[C]1(-[H])-[C]-[C]-1 | (Ring),182209
[H]-[C]1(-[H])-[C]-[O]-1 | (Ring),104404
[H]-[C]1(-[O])-[C]-[C]-1 | (Ring),204622
[H]-[C]1(-[c])-[C]-[C]-1 | (Ring),976
[H]-[C]1(-[c])-[C]-[O]-1 | (Ring),1565
[H]-[c](:[c]):[c] | (Ring),28227
[H]-[c](:[c]):[o] | (Ring),31757
[O]-[C](-[O])=[O],5671
[O]-[C](-[O])=[O] | (Ring),25644
[O]-[C]1(-[O])-[C]-[C]-1 | (Ring),10373
[O]=[c](:[o]):[o] | (Ring),2827
[c]#[c]:[c] | (Ring),30
[c]-[C](-[O])=[O],1556
[c]-[C](-[O])=[O] | (Ring),869
[c]-[C]1(-[O])-[C]-[C]-1 | (Ring),119
[c]-[c](-[c])=[O] | (Ring),1
[c]-[c](:[c]):[c] | (Ring),139
[c]-[c](:[c]):[o] | (Ring),146
[c]:[c]#[c] | (Ring),2
[c]:[c](-[O]):[o] | (Ring),18642
[c]:[c](:[c])-[O] | (Ring),23132
[c]:[c](:[c]):[c] | (Ring),1174
[c]:[c](:[c]):[o] | (Ring),1222
[c]:[c](:[c])=[O] | (Ring),2511
[c]:[c](:[c])=[c] | (Ring),2
[c]:[c](:[o]):[o] | (Ring),412
[c]:[c](=[O]):[o] | (Ring),4916
[c]:[c](=[c]):[c] | (Ring),5
[c]:[c](=[c]):[o] | (Ring),24
[c]=[c](:[c]):[c] | (Ring),4
[c]=[c](:[c]):[o] | (Ring),22
