Compound,NSP,NSP_Error,YSI,YSI_Error,Type,SMILES
Ethane,319,153,,,Alkane,CC
Cyclopropane,25.9,0,,,Alkane,C1CC1
Propane,202,82,,,Alkane,CCC
n-Butane,175,33,,,Alkane,CCCC
Isobutane,96.3,0,,,Alkane,CC(C)C
Cyclopentane,58,13.5,39.4,2.1,Alkane,C1CCCC1
n-Pentane,163,25,,,Alkane,CCCCC
Isopentane,104,0,,,Alkane,CCC(C)C
"2,2-Dimethylpropane",59.8,0,,,Alkane,CC(C)(C)C
Methylcyclopentane,55.3,1.1,50.3,2,Alkane,CC1CCCC1
Cyclohexane,81.9,16.4,42.7,2,Alkane,C1CCCCC1
n-Hexane,149,24,30,2.3,Alkane,CCCCCC
2-Methylpentane,116,7,36.7,2.1,Alkane,CCCC(C)C
3-Methylpentane,124,12,38.2,2.1,Alkane,CCC(C)CC
"2,2-Dimethylbutane",80.1,38,43.4,2,Alkane,CCC(C)(C)C
"2,3-Dimethylbutane",105,0,44,2,Alkane,CC(C)C(C)C
Methylcyclohexane,56.6,14.2,53.6,2,Alkane,CC1CCCCC1
n-Heptane,139,15,36,2.2,Alkane,CCCCCCC
2-Methylhexane,119,0,42.4,2,Alkane,CCCCC(C)C
3-Methylhexane,120,0,43,2,Alkane,CCCC(C)CC
"2,3-Dimethylpentane",107,0,49.4,2,Alkane,CCC(C)C(C)C
"2,4-Dimethylpentane",102,0,49.6,2,Alkane,CC(C)CC(C)C
"cis-1,3-Dimethylcyclohexane",61.1,0,67.6,2.1,Alkane,C[C@@H]1CCC[C@@H](C1)C
Ethylcyclohexane,71.3,24.6,60.7,2,Alkane,CCC1CCCCC1
Cyclooctane,56.4,0,57.7,2,Alkane,C1CCCCCCC1
n-Octane,137,28,42.6,2,Alkane,CCCCCCCC
2-Methylheptane,120,0,49.4,2,Alkane,CCCCCC(C)C
3-Methylheptane,110,0,48.7,2,Alkane,CCCCC(C)CC
4-Methylheptane,102,0,48.1,2,Alkane,CCCC(C)CCC
3-Ethylhexane,102,0,,,Alkane,CCCC(CC)CC
"2,2-Dimethylhexane",87.3,0,52.8,2,Alkane,CCCCC(C)(C)C
"2,3-Dimethylhexane",107,0,,,Alkane,CCCC(C)C(C)C
"2,2,4-Trimethylpentane",54.3,13,61.7,2,Alkane,CC(C)CC(C)(C)C
"2,3,4-Trimethylpentane",59,0,60.9,2,Alkane,CC(C)C(C)C(C)C
"2,2,3-Trimethylpentane",58.1,0,,,Alkane,CCC(C)C(C)(C)C
2-Methyl-3-ethylpentane,89,0,,,Alkane,CCC(CC)C(C)C
n-Nonane,110,27,50.1,2,Alkane,CCCCCCCCC
Isononane,129,0,,,Alkane,CCCCCCC(C)C
Decalin,25.5,4.3,105.5,5.8,Alkane,C1CCC2CCCCC2C1
n-Decane,122,14,57.2,2,Alkane,CCCCCCCCCC
n-Undecane,113,23,64.7,2,Alkane,CCCCCCCCCCC
cyclohexylcyclohexane,42.9,8.8,,,Alkane,C1CCC(CC1)C2CCCCC2
n-Dodecane,107,24,71.7,2.1,Alkane,CCCCCCCCCCCC
n-Tridecane,116,0,,,Alkane,CCCCCCCCCCCCC
n-Tetradecane,120,0,,,Alkane,CCCCCCCCCCCCCC
n-Hexadecane,110,0,,,Alkane,CCCCCCCCCCCCCCCC
Isohexadecane,33.2,0,,,Alkane,CCCCCCCCCCCCCC(C)C
Ethene ,120,18,,,Alkene,C=C
Propene,32.8,4.7,,,Alkene,CC=C
"1,3-Butadiene",9.23,11,,,Alkene,C=CC=C
1-Butene,29.1,0,,,Alkene,CCC=C
2-Butene,30.7,0,,,Alkene,C/C=C/C
Isobutene,22.6,7.4,,,Alkene,CC(=C)C
